ts_utc,container,cpu_pct,mem_bytes,mem_pct,host
2026-09-20T23:23:45Z,egw-ditto-things-1,18.56,534638592,66.39,egw-qemu-integrated
2026-09-20T23:23:45Z,egw-mongodb-1,9.45,255000576,47.50,egw-qemu-integrated
2026-09-20T23:23:45Z,egw-ditto-gateway-1,22.25,554172416,68.82,egw-qemu-integrated
2026-09-20T23:23:45Z,egw-ditto-policies-1,22.18,533135360,66.20,egw-qemu-integrated
2026-09-20T23:23:45Z,egw-controller-1,1.01,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:45Z,egw-mosquitto-1,0.14,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:46Z,egw-ditto-things-1,16.75,534605824,66.39,egw-qemu-integrated
2026-09-20T23:23:46Z,egw-mongodb-1,3.01,254742528,47.45,egw-qemu-integrated
2026-09-20T23:23:46Z,egw-ditto-gateway-1,22.20,554201088,68.82,egw-qemu-integrated
2026-09-20T23:23:46Z,egw-ditto-policies-1,25.88,533172224,66.21,egw-qemu-integrated
2026-09-20T23:23:46Z,egw-controller-1,0.88,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:46Z,egw-mosquitto-1,0.13,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:47Z,egw-ditto-things-1,27.09,534609920,66.39,egw-qemu-integrated
2026-09-20T23:23:47Z,egw-mongodb-1,2.60,254742528,47.45,egw-qemu-integrated
2026-09-20T23:23:47Z,egw-ditto-gateway-1,14.66,554201088,68.82,egw-qemu-integrated
2026-09-20T23:23:47Z,egw-ditto-policies-1,11.20,533172224,66.21,egw-qemu-integrated
2026-09-20T23:23:47Z,egw-controller-1,0.82,55709696,20.75,egw-qemu-integrated
2026-09-20T23:23:47Z,egw-mosquitto-1,0.13,4337664,3.23,egw-qemu-integrated
2026-09-20T23:23:48Z,egw-ditto-things-1,105.45,534597632,66.38,egw-qemu-integrated
2026-09-20T23:23:48Z,egw-mongodb-1,2.93,254742528,47.45,egw-qemu-integrated
